,product_image,product_name,product_price,product_discount,product_after_discount,product_rating,service
0,https://media.dekoruma.com/catalogue/NRA-415157.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio NOBU Sofa Bed Cream,"Rp2,423,000",45%,"Rp1,329,000",['2348'],se-Jabodetabek
1,https://media.dekoruma.com/catalogue/NRA-415158.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio NOBU Sofa Bed Abu,"Rp2,423,000",45%,"Rp1,329,000",['2330'],se-Jabodetabek
2,https://media.dekoruma.com/catalogue/NRA-406844.JPG?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio HATO Sofabed Cokelat,"Rp5,570,000",40%,"Rp3,329,000",['1047'],se-Jabodetabek
3,https://media.dekoruma.com/catalogue/NRA-379708.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio HIRO Sofa 2 Seater Abu-abu,"Rp5,444,000",44%,"Rp2,999,000",['967'],se-Jabodetabek
4,https://media.dekoruma.com/catalogue/NRA-380215.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio HIRO Sofa 3 Seater Abu-abu,"Rp7,010,000",32%,"Rp4,699,000",['1160'],se-Jabodetabek
5,https://media.dekoruma.com/catalogue/NRA-379706.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio MICHI Sofa 2 Seater Abu-Abu Tua,"Rp6,307,000",32%,"Rp4,249,000",['701'],se-Jabodetabek
6,https://media.dekoruma.com/catalogue/NRA-380217.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio MICHI Sofa 3 Seater Abu-Abu Tua,"Rp7,927,000",34%,"Rp5,199,000",['858'],se-Jabodetabek
7,https://media.dekoruma.com/catalogue/NRA-425319.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio NITTA Sofa L Abu,"Rp5,294,000",43%,"Rp2,999,000",['415'],se-Jabodetabek
8,https://media.dekoruma.com/catalogue/NRA-460380.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio HISA Sofa 1 Dudukan Abu Tua,"Rp3,105,000",39%,"Rp1,869,000",['109'],se-Jabodetabek
9,https://media.dekoruma.com/catalogue/NRA-460381.jpg?auto=webp&bg-color=ffffff&dpr=0.8&fit=bounds&height=100&optimize=high&pad=0&quality=0&trim-color=auto&width=100,Heim Studio HISA Sofa 1 Dudukan Abu Muda,"Rp3,105,000",39%,"Rp1,869,000",['96'],se-Jabodetabek
